Sun Mar 12 19:50:29 2023    binary.txt

         48355 function calls (47714 primitive calls) in 0.038 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      102    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\size.py:26(__init__)
     57/1    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\frames\conjunctions.py:275(check_table)
      211    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\ansi\ansi.py:63(code)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      129    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\coord.py:60(__sub__)
       36    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      681    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       13    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:34(<listcomp>)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      193    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       92    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      612    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:19(__init__)
     36/4    0.000    0.000    0.028    0.007 <frozen importlib._bootstrap_external>:934(exec_module)
      168    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        1    0.000    0.000    0.004    0.004 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\ctypes\__init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:188(__setitem__)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      120    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\typing.py:1280(__setattr__)
        1    0.000    0.000    0.001    0.001 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\urllib\parse.py:1(<module>)
       36    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       52    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\range.py:20(<listcomp>)
       35    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\typing.py:168(_type_check)
  266/261    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF8348C8F90}
       44    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
       42    0.000    0.000    0.001    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\range.py:48(array_coords)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       42    0.000    0.000    0.001    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\range.py:50(<listcomp>)
        7    0.000    0.000    0.004    0.001 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:272(_compile)
       74    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\colorama\win32.py:118(GetConsoleScreenBufferInfo)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       61    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:216(<listcomp>)
      416    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      154    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\range.py:7(__init__)
       13    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\grid\matrix.py:59(<listcomp>)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.005    0.005 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1(<module>)
       23    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\copy.py:66(copy)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1032(__exit__)
      211    0.000    0.000    0.000    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\ansi\colors.py:21(__str__)
        3    0.000    0.000    0.001    0.000 C:\Users\jacob\Downloads\Programing\Python\PyBattle\Now\GitHub\Pybattle\pybattle\window\frames\frame.py:65(_create_frame)
