Sun Jun  4 15:52:59 2023    binary.txt

         404339 function calls (403851 primitive calls) in 0.347 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.001    0.000    0.022    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1595(makeRecord)
     1000    0.001    0.000    0.004    0.000 <frozen ntpath>:229(splitext)
        1    0.001    0.001    0.347    0.347 pybattle/log/log.py:1(<module>)
     1000    0.001    0.000    0.045    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1636(handle)
     1022    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        7    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1000    0.001    0.000    0.026    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1216(emit)
     5295    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     8039    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2000    0.001    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:929(release)
     4033    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     1000    0.001    0.000    0.001    0.000 {built-in method builtins.format}
     3076    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
       38    0.001    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:241(_optimize_charset)
     6063    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
     3268    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
    43/12    0.001    0.000    0.002    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py:507(_parse)
       79    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     6000    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
       19    0.001    0.000    0.001    0.000 {built-in method io.open_code}
       19    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        4    0.001    0.000    0.001    0.000 {built-in method io.open}
     1000    0.001    0.000    0.008    0.000 <frozen ntpath>:240(basename)
     1000    0.001    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:432(usesTime)
     1000    0.001    0.000    0.007    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:942(format)
     1000    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:368(getMessage)
     1000    0.000    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\threading.py:1446(current_thread)
     1000    0.000    0.000    0.002    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:447(format)
     1000    0.000    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:123(getLevelName)
     1000    0.000    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:164(<lambda>)
     1000    0.000    0.000    0.001    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:652(usesTime)
     2004    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
     1000    0.000    0.000    0.001    0.000 <frozen ntpath>:35(_get_bothseps)
     1054    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
    91/12    0.000    0.000    0.002    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py:37(_compile)
     1000    0.000    0.000    0.002    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:658(formatMessage)
     1000    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1734(isEnabledFor)
     2182    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     2205    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1000    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
     1000    0.000    0.000    0.000    0.000 C:\Users\jacob\AppData\Local\Programs\Python\Python311\Lib\threading.py:1145(name)
     1005    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
